1;2015;2537;6;3;3
2;2005;2735;4;7;2
3;2010;7728;5;2;6
4;2012;5512;6;7;6
5;2021;2691;2;1;3
6;2001;6085;7;1;7
7;1991;2721;5;2;7
8;2020;4332;5;2;3
9;2021;5249;7;7;4
10;2005;2048;3;7;5
11;2003;7871;1;1;4
12;2009;2078;2;5;1
13;2001;7666;6;2;5
14;1999;5052;3;7;6
15;2015;3840;4;7;5
16;2019;9466;2;4;3
17;2013;4282;6;6;2
18;2018;3300;3;7;6
19;1990;2918;4;7;4
20;1997;1035;6;5;4
21;1992;6990;1;5;7
22;1992;3047;7;4;5
23;2015;2068;2;1;7
24;2019;3818;1;1;7
25;1994;8818;5;1;6
26;2004;3442;5;1;3
27;2003;2851;2;6;6
28;2020;7409;1;1;7
29;1992;8410;3;3;4
30;2011;5879;6;2;2
31;2020;5835;7;6;7
32;2013;7441;1;4;6
33;2007;8642;3;4;5
34;2010;2004;2;2;4
35;2007;6352;2;4;5
36;1995;1801;4;6;6
37;2013;3853;1;7;3
38;2020;3822;1;4;2
39;2016;2703;4;7;5
40;2004;4105;4;4;1
41;1990;8436;6;7;1
42;2016;1566;7;1;5
43;1996;3180;5;3;4
44;2005;6248;3;5;3
45;2007;1753;7;2;1
46;1997;7244;1;2;3
47;1994;2516;3;7;1
48;1993;4066;2;1;3
49;2020;8637;4;3;7
50;2008;2050;5;5;3
51;2014;8604;3;1;6
52;2000;4407;5;4;6
53;2007;5937;7;4;4
54;2014;4051;3;7;7
55;2003;4622;7;6;5
56;2013;6158;3;3;2
57;2005;4859;2;7;6
58;2008;6818;4;6;4
59;1991;3900;6;1;5
60;2010;4038;2;5;1
61;2022;4080;1;6;1
62;2009;9942;6;4;5
63;2008;6151;7;5;5
64;2003;3179;7;4;2
65;1993;5872;4;3;5
66;2005;4580;6;1;5
67;2000;7917;5;4;5
68;2003;7813;1;5;7
69;2018;1717;7;2;7
70;2011;4479;7;5;1
71;2011;6355;6;2;1
72;1994;3607;3;1;1
73;2006;7151;1;1;6
74;2002;8125;2;2;7
75;1995;9695;4;1;1
76;2011;9429;7;1;3
77;2012;2819;4;1;7
78;2008;4967;4;7;4
79;2012;7013;6;4;1
80;2007;6620;1;7;4
81;2022;9979;6;4;7
82;2001;5855;5;6;5
83;2013;5149;4;1;6
84;2015;6034;4;7;6
85;1994;8931;3;5;2
86;1991;8147;4;7;2
87;2003;8899;4;5;5
88;1992;2428;7;3;4
89;2011;5119;7;3;1
90;2010;6132;5;6;2
91;2010;2826;3;7;2
92;1994;8969;3;5;3
93;1993;9875;6;5;6
94;2004;6702;7;1;7
95;1998;4311;4;2;6
96;2011;6923;6;1;7
97;2018;2049;4;6;4
98;2009;3445;3;4;1
99;2000;7703;4;5;5
100;1992;7820;5;6;3
101;1999;2011;6;5;3
102;2018;8576;6;5;5
103;1999;1662;7;4;7
104;2003;4635;7;2;4
105;2006;4751;1;3;3
106;2012;1383;7;7;3
107;2000;1072;3;6;3
108;2021;4786;6;5;5
109;2004;7067;2;7;1
110;1995;5105;7;5;6
111;1996;1132;1;2;6
112;2017;7004;3;1;3
113;2012;6074;2;3;7
114;1992;2420;4;7;5
115;2002;6468;5;1;4
116;2021;2352;1;2;7
117;1994;1523;3;7;1
118;2016;4958;4;4;4
119;2006;2392;6;6;6
120;2001;9964;4;3;4
121;1990;9652;4;3;5
122;1993;9517;1;4;1
123;2021;7668;2;7;7
124;2013;7281;5;5;4
125;1993;8567;3;7;5
126;2005;7897;7;4;1
127;2009;8375;1;3;1
128;2019;3842;5;7;7
129;2008;7384;3;4;7
130;2007;3533;3;3;3
